av,bv,desc,numOfComments,partsDict,pic,pubdate,related,title,viewseo
39205449,BV16t411r7tM,感谢大家观看本期视频！\nROG旗下的冰刃系列我们也测试过不止一款了。\n最近在20系显卡发布之前，冰刃系列推出了最新的旗舰型号冰刃3。\n这款GTX10系列显卡的最终作品究竟如何？\n看完全部视频，相信你能找到答案！,668,{0: '上传用'},http://i1.hdslb.com/bfs/archive/9c8e64249d0feff97b5e3d3a8208d9e10a17d81c.jpg,1545988256,"['【笔吧评测室】轻薄旗舰再升级，ROG 冰刃3s Plus评测', '【SPlusTech】玩家国度冰刃3s新锐测评：可能是今年最好的轻薄游戏本', 'ROG 幻15', '【SPlusTech】玩家国度幻15测评：嘴上说不要，配置还是挺诚实的', '进击的AMD！推出R9 4900H ROG幻14首发', '14英寸轻薄高效能潮牌笔记本-ROG幻14', '华硕天选笔记本 这是一个用过ROG笔记本的对于 天选 的一点看法', 'ROG Zephyrus G14幻14轻薄全能笔记本CG宣传片', 'ROG Zephyrus G14 全新ROG 幻14 潘多拉幻光矩阵轻薄游戏本', 'ROG Strix XG17AHPE 超级可变便携显示器', '【皮皮眼摸鱼】来看看Rog新款背包和充电宝吧', '我为何想对外星人m17r2重拳出击？？使用不到一个月发现了一些挺烦人的问题', '【皮皮眼评测】2020年ROG还会有什么惊喜？听我来说说']",【笔吧简评】轻薄与性能的完美结合？ROG 冰刃3简评,331403
37610991,BV1tt411S7Ww,谢谢大家观看本期视频！\n雷蛇自从上市以来，大动作频发，15寸游戏本就推出了不止一款。\n那么这台售价相对较低的标准版表现如何呢？\n看完全部视频，相信你能找到答案！,604,{0: '上传用'},http://i1.hdslb.com/bfs/archive/ec0be13f439351884865e5f20103ee6cf6ee9ca0.jpg,1544174057,"['【SPlusTech】数码雷蛇灵刃15评测:大概是今年到现在为止最完美的打游戏的笔记本电脑，好歹给未来笔记本的发展试了下', '【SPlusTech】雷蛇灵刃15 水银版测评：这么好看的笔记本，答应我，不要用她来打游戏好吗', '【SPlusTech】微软Surface Laptop 3测评：并不是所有苏菲都这么贵', '超极本外接2080后，可以打爆顶级游戏本吗！？', '四千价位的“越级小钢炮”炫龙DD2-PLUS评测', '【SPlusTech】玩家国度幻15测评：嘴上说不要，配置还是挺诚实的', '【SPlusTech】雷蛇灵刃潜行版+战核X幻彩版测评：蛇吹的自我修养', '少女心爆棚！雷蛇灵刃15标准 粉晶版游戏本2019款开箱', '2020年性价比极高的笔记本电脑购买推荐（萌新向）', '小伙们都用得起的全新1660ti雷蛇灵刃标准版 轻薄强劲 售价亲民性能不妥协', '【Huan】 我带著它去美国一趟! Razer Blade 15开箱评测', '雷蛇灵刃Gtx1660Ti游戏本评测和调教', '差点翻车！给幻15升级双通道内存和加M.2硬盘，另外谈谈感受【inwataru作品】', '【SPlusTech】戴尔G3测评：一白遮百丑，一键毁所有~', 'Y7000P使用一年后体验反馈', '【SPlusTech】微星绝影GS65评测：万元以内的轻薄游戏本，他不香么？？？', '【SPlusTech】机械革命X3评测：7K档的黄金圣斗士', '【官方双语】OLED屏笔电...好像有点辣鸡？雷蛇灵刃2019评测#linus谈科技', '【笔吧评测室】今年的笔记本有什么黑科技？猪王带你逛CES 2020!', '【笔吧科普】猪王教你买电脑！选购篇！', '雷蛇驱动雷云基本功能', '16寸MacBook Pro贵才能好，好才能贵，买就对了！【值不值得买第402期】', '【影视飓风】种草警告！看了就想买的六大科技产品', '【何同学】二十万元的电脑是什么样子的？苹果Mac Pro深度体验', '【SPlusTech】外星人Area51m测评：我要卖掉我的台式，买台51M', '【SPlusTech】掠夺者刀锋900测评：重剑无锋，大巧不工']",【笔吧评测室】雷蛇灵刃15标准版评测,269729
50513076,BV1g4411h7vA,感谢大家观看本期视频！\n上次我们拆解了华硕玩家国度超神2S，其实在装机的过程中发生了一些小意外…\n所以这次我们挑选了一款结构更加清晰的笔记本，就是ASUS旗下的商务系列——破晓px574\n虽然结构清晰，但如果要做到详细拆解，还是有一定难度的，看完全部视频你就明白了~,266,{0: '上传用'},http://i0.hdslb.com/bfs/archive/e52503756621fa4552899eb6321a2ccad103e37d.jpg,1556272839,"['历时16天，显卡孵蛋成功！！！', '听说你想买到便宜的笔记本？', '【无聊的开箱】OPPO Find X2 Pro真机开箱实测！3K屏配120Hz刷新率能否吊打友商？', '【B站最良心】19年大学生笔记本选购全攻略！15分钟从小白到大神，高考生福利！', '1kg不到顶配还能跑到4.9GHz 华硕推出ExpertBook B9', '【享拆】Redmi K30 拆解：可能重新定义了千元机', '【无聊的开箱】史上最凶残笔记本电脑暴力测试，Dell商务本真的防水防摔？', '【大家测】价值149元小米65W快充 充电器开箱体验 氮化镓快充行业开始慌了', '【拆个鸡儿】玩家国度超神2s详细拆解', '【猿】CPU配水冷散热器选什么规格好？', '【装机猿】为什么我做UP主两年多，关注还是没有100万？', '【SPlusTech】Q&A：华硕天选，拯救者竞技版，小新Pro13 2020', '【笔吧简评】ROG 超神X简评：比车还贵的笔记本了解一下？', '【翼王】例行升级但还是非常香？荣耀MagicBook 2019 开箱\\u002F测试\\u002F拆解', '【熊猫】上亿像素手机是什么体验？小米CC9Pro对比华为mate30 Pro！', '纳  米  工  艺', '【SPlusTech】华硕玩家国度超神2s测评：既生Area51m，何生超神2s', 'iPhoneXs Max测试——这是我今年用过最恐怖的手机「胜利出品」', '【笔吧科普】猪王教你买电脑！选购篇！', '【笔吧科普】好屏幕是怎样炼成的', '【笔吧简评】来自败家之眼的呼唤，玩家国度 超神2测评', '明人不说暗话 我们要水一期_HomeRun猫咪饮水机【值不值得买第335期】', '「小白测评」三星Z Flip折叠机体验测评 可以当主力机了？', '「科技美学直播」华为鸿蒙OS系统 威力多大？何时上市？理性分析', '【笔吧评测室】轻薄旗舰再升级，ROG 冰刃3s Plus评测', '我这么善良的人 居然也给一个3万粉丝，还是卖二手货的UP主来锤 人心哪 能不能善良点  万元机开始出发  华硕ROG声光同步', '【笔吧科普】猪王教你买电脑！', '【笔吧评测室】LG gram 17 2020评测：蝉联“唯一大屏轻薄本”桂冠', '3000-5000元笔记本选购推荐，听我的，真的很香', '《值不值得买》第278期：如何用微软办公生活', '【SPlusTech】外星人Area51m测评：我要卖掉我的台式，买台51M', '这个带眼睛的移动硬盘盒居然卖449，而且还不送硬盘？【开箱翼闻录第3期】', '【笔吧评测室】跑马灯？电竞屏？ROG枪神3评测', '【笔吧科普】笔记本电脑散热变差了？教你如何清灰换硅脂！', '【笔吧评测室】今年的笔记本有什么黑科技？猪王带你逛CES 2020!', '2020年性价比极高的笔记本电脑购买推荐（萌新向）', '【笔吧评测室】旗舰级纯轻薄本，戴尔XPS13 9380简评', '【笔吧评测室】混搭变形便携好？轻薄变形本惠普SPECTRE X360测评', '联想刃7000P上手：现在的品牌机，比得上DIY吗？']",【拆个机儿】华硕破晓px574详细拆解,81494
49053398,BV1Nb411K7oX,感谢大家观看本期视频~\nG7是戴尔旗下游戏本的高端系列，本次新G7也采用了全新的模具，厚度比老款降低不少。\n这台外观比较正经的游戏本表现究竟如何？\n看完全部视频，相信你能找到答案！,882,{0: '出片1_x264'},http://i1.hdslb.com/bfs/archive/66ac74d8030ece82571a2a9bc33b8eba6d367f6f.jpg,1555060829,"['中正评测：戴尔G7-7590新RTX2060显卡版开箱', '【SPlusTech】Dell戴尔G7测评：科技以换“壳”为本', '【SPlusTech】戴尔G7 OLED初体验:燃烧的像素', '戴尔G7 讲解，鲁大师31万是基础分数', '戴尔G7 2019游戏本测评：高颜值轻薄商务范', '拥有20000块游戏本是什么体验|外星人新款M17开箱！', '【笔吧评测室】颜值巅峰，戴尔Alienware17R4评测', 'G7 为什么那么贵？关于你不知道的用料讲解（中）说点不让说的', '中正评测：戴尔G7-i7-1060MQ高色域NVME固态硬盘版开箱，对比联想Y7000P-i7-1060版', '强行首发！新G5 5590拆箱+简单评测-白色天使降临', '跨越级别的对比 灵越7590对阵暗影精灵5', '【笔吧评测室】Latitude7390评测', '最高特效吃鸡是否稳定？白色G5对战白色G7', '戴尔G3游戏本体验评测  戴尔品牌不多见的主打性价比的游戏本', '【SPlusTech】拯救者周边全家福：不想当裁缝的电脑厂家做不出好背包......', '【笔吧评测室】最新的主流级性能？宏碁暗影骑士3评测']",【笔吧评测室】全新模具，戴尔G7评测,296425
40862863,BV1Et411p73m,谢谢大家观看本期视频\n最近这段时间华为的新电脑售价一直偏高，特别是颇具特色的Matebook X Pro低配买7900+劝退了不少人。\n最近华为更新了一款价格亲民很多的电脑，它的表现究竟如何呢？\n看完全部视频，相信你能找到答案！,2428,{0: '出片3_x264'},http://i2.hdslb.com/bfs/archive/329e77bbe25ccae913268520f2d77b853ebe9998.jpg,1547629217,"['【大米评测】华为Matebook14体验评测：5000档最香轻薄本？', '【B站最良心】19年大学生笔记本选购全攻略！15分钟从小白到大神，高考生福利！', '【熊猫】最适合大学生的轻薄本？华为matebook14评测', '[多p] 看这一个就够了！华为matebook 13\\u002F14 2020新款 评测合辑\\u002F选购建议\\u002F屏幕体验\\u002F性能测试\\u002F散热\\u002F接口\\u002F键盘\\u002FPR\\u002Flol', '假如你买了华为Matebook13，3499元划算吗？', '【熊猫开箱】新款华为matebook14 2020快速开箱上手！对比pro13孰强孰弱？', '中正评测：华为MateBook13\\u002F2020版开箱，MX350前的平平淡淡的水桶机', '【教程向】白嫖华为「多屏协同」，是个电脑就能用——3号顽物局', 'HUAWEI Matebook 14开箱', '【何同学】二十万元的电脑是什么样子的？苹果Mac Pro深度体验', '2020款华为matebook 14使用体验，散热问题 GTA5可以玩吗？触摸屏到底怎么样？女生选择matebook 13还是14？华为鼠标怎么样（还不错）', '中正评测：华为也有性价比笔记本了？MateBook13锐龙linux版开箱', '【熊猫评测】天神下凡！联想小新pro13使用体验，原来轻薄本性能也可以这么强！', '妹子最值得买的华为笔记本，新matebook13锐龙版评测', 'HUAWEI MateBook 13：谁说爵士没有性价比？ | 凰家评测', '上手3999元Matebook13', '中正评测：华为四款笔记本浅析--MateBook X、X Pro、13、D', '【SPlusTech】联想小新Pro13评测：诚意拉满', '中正评测：华为MateBook14轻薄本开箱，对比联想小新Air14锐龙R7-3700U', '【熊猫评测】小新Air14 2020评测，5千档最强水桶机？这不是我熟悉的Air系列！', '中正评测：穷，就活该买坑机吗？是，你最好坑！机械革命S1Pro i5-10210U轻薄本开箱，性价比还是让有钱人玩吧', '中正评测：小新Pro14？联想YOGA S740-14开箱，真·10纳米--i5-1035G1', '【首发】不止于换壳？白色版小新pro13s上手体验！', '主流双子星的尊严之战——华为MateBook13&14 2020版本评测', '【何同学】挺稳的 华为Mate 30 Pro深度体验', '轻薄本流畅玩吃鸡？华为matebook14(性能测试)', '【笔吧科普】猪王教你买电脑！选购篇！', '【大学生福利】笔记本电脑选购全指南（萌新向）', '中正评测：荣耀magicbook2019锐龙5-3500U开箱，对比联想小新14-锐龙5-3500U轻薄本', '华为matebook 14 2020款开箱体验   据说这是目前最难买的轻薄本？', '爱上它，或者爱上我！颜值就是生产力！华为matebook13使用体验——看简介！', '【What评测】香得要命？联想小新Pro13简易评测', '【开箱纪念】电脑小白真实的华为matebook13 2020版开箱', '【叶秋评测】华为最贵轻薄笔记本Matebook Xpro体验，有惊喜有失望', '「消费者说」42：4499最香笔记本？联想小新Pro评测']",【笔吧简评】主流价位屏幕最好的笔记本？华为Matebook13评测,460533
54699812,BV1U4411M7JR,感谢大家观看本期视频！\n随着笔记本行业材质用料的进一步研发，如今15寸的超轻薄本也已经推出不少了。\n但是目前17寸的轻便型笔记本依旧是一个较大的市场空缺，而LG是唯一一个推出此类的产品的公司。\n那么这款“独苗”的表现究竟如何呢？\n看完全部视频，相信你能找到答案！,587,{0: '出片2 _x264'},http://i0.hdslb.com/bfs/archive/82bd23d8e65868d31d5c3bedcb97a84b3db8a5c0.jpg,1559813112,"['「科技美学直播」LG gram 17英寸超极本开箱体验 | 重量居然只有1.3KG', '【宁】史上最大的轻薄本Lg  gram 17寸。', '最佳15寸超极本LG Gram 2018「科技美学直播」', '中正评测：13吋小机身内塞下标压CPU，表现如何？小新Pro13锐龙标压版开箱', '【笔吧科普】买游戏本必须i7？四核i5和i7差距究竟有多大？', '【笔吧问答】第三期：“猪王”名字的来由？', '13 寸的重量却有 17 寸的外观？ gram 笔电测评', '【笔吧科普】猪王教你买电脑！选购篇！', '【笔吧简评】全面屏全能本  华为Matebook14简评', '【D2D\\u002F中英】2020款LG Gram评测-好太多了@白鲸字幕组', '【笔吧评测室】笔记本也能上水冷？华硕ROG GX800测评', '中正评测：华为MateBook13\\u002F2020版开箱，MX350前的平平淡淡的水桶机', '小身材大屏幕 顶配版LG gram 17Z990开箱体验「轻电科技」', 'LG gram 2020升级十代10nm酷睿 最轻999g', '【笔吧评测室】雷蛇灵刃15标准版评测', '英伟达最新移动独显MX350性能公开 够用了吗？', '被车碾压也能用？LG gram 暴力测试【轻电科技】', '【SPlusTech】小新Air14 2020评测：真香~', '【大锤开箱】怎么会有 17 英寸的轻薄本？？？', '【D2D中英】史上最轻薄笔记本！LG Gram 2020款评测！', '【笔吧简评】经典的全能轻薄本，联想潮7000-13评测', '【笔吧简评】OLED屏全能本，机械革命 Umi Air 简评', '【米哥沃克斯】世界最轻我爱不释手的17寸笔记本电脑：LG Gram 17 评测体验', '【笔吧简评】微软SurfaceLaptop2评测', '【官方双语】看我多么大——LG Gram 17评测#linus谈科技', '「科技美学直播」首款MX350独显 联想小新Air 14 2020笔记本开箱体验', '开学了，给你几个选择LG gram的理由', '【SPlusTech】微星Prestige15测评：给设计狮的新年礼物？', '【The Tech Chap\\u002F中英】2020款LG gram 17寸评测——最轻薄的17寸笔记本@白鲸字幕组', '【笔吧科普】猪王教你买电脑！']",【笔吧简评】目前唯一的大屏轻薄本，LG Gram 17Z990简评,126758
45009599,BV1pb411b7uv,许多同学非常喜欢看拆机视频（你们就是想看我掰断卡扣），所以我们决定制作一档纯拆机类的节目，第一期我们决定为大家拆机ROG的超神2s，这台性能怪兽不仅配置强劲，拆机也是相当的复杂，对有预算充足而且还想动手提升配置的同学，可以考虑一下这台机器~至于什么掰断卡扣的事，根本就是不存在哒！,524,{0: '出片1_new_file(1)_x264'},http://i2.hdslb.com/bfs/archive/1f14a0e1057745b0aa92bb926fb7ab95f96765ce.jpg,1551438038,"['【笔吧评测室】笔记本也能上水冷？华硕ROG GX800测评', '【笔吧简评】来自败家之眼的呼唤，玩家国度 超神2测评', '【SPlusTech】华硕玩家国度超神2s测评：既生Area51m，何生超神2s', '【SPlusTech】玩家国度幻15测评：嘴上说不要，配置还是挺诚实的', '【官方双语】震惊！这笔电居然飙到了5GHz！#linus谈科技', '【笔吧简评】散热较好的电竞游戏本，联想拯救者Y7000P评测', '【笔吧评测室】轻薄与性能的完美结合？华硕玩家国度GX501VI评测', '「科技美学直播」全球首款2080显卡游戏本 售价四万 玩家国度ROG超神2s开箱体验', '「科技美学直播」7万块的ROG超神X开箱上手体验', '【笔吧简评】ROG 超神X简评：比车还贵的笔记本了解一下？', '【笔吧简评】微软SurfaceLaptop2评测', '【笔吧简评】轻薄与性能的完美结合？ROG 冰刃3简评', 'ROG超神X测评，七万元的土豪笔记本，真能吊打台式机吗？玩家国度，你从未见过的船新版本', '为何华硕高端价格居高不下，ROG真的很败家么？堆料？卖包装？性能强？那么贵真的值得买买买么？', '【拆个机儿】华硕破晓px574详细拆解', '7万块笔电真能脚踩台式机？ROG超神X评测-3DM硬件评测室', '【官方双语】新晋游戏本之王——ROG 枪神III#linus谈科技', '【笔吧评测室】惠普Elitebook1050 G1评测', '笔记本的2080相当于台式的什么水平？超神2s上手实测', '【笔吧评测室】旗舰级纯轻薄本，戴尔XPS13 9380简评', '【装机猿】华硕这是瞧谁不起？ROG太阳神机箱居然才卖1999？！', '【笔吧评测室】跑马灯？电竞屏？ROG枪神3评测', '【笔吧评测室】联想拯救者Y9000X评测：我的对手很少', '【SPlusTech】华硕玩家国度枪神3测评：一言难尽~', '【笔吧评测室】Latitude7390评测', '【笔吧评测室】神舟战神GX8-CR7S1评测', '【笔吧评测室】真正的主流性能？惠普暗影精灵2代评测', '【笔吧评测室】混搭变形便携好？轻薄变形本惠普SPECTRE X360测评', '【笔吧科普】猪王教你买电脑！', '【SPlusTech】玩家国度魔霸3测评：9999的ROG，还要啥自行车？', '【SPlusTech】数码玩家国度枪神2s Plus测评：人不败家枉少年', '【笔吧评测室】最强3A游戏本，玩家国度S7ZC评测', '【笔吧简评】经典的全能轻薄本，联想潮7000-13评测', '【SPlusTech】华硕玩家国度枪神2测评：不想打游戏的阿苏斯不是好RGB(想破头也想不出的标题，凑活着用吧先，改天我再改)', '【笔吧评测室】轻薄旗舰再升级，ROG 冰刃3s Plus评测', '【笔吧简评】全面屏全能本  华为Matebook14简评', '【笔吧评测室】颜值巅峰，戴尔Alienware17R4评测', '【笔吧简评】目前唯一的大屏轻薄本，LG Gram 17Z990简评', '华硕玩家国度rtx2070的笔记本，老厮居然也开始拆了，什么情况呢']",【拆个鸡儿】玩家国度超神2s详细拆解,131465
38647986,BV14t411Y7F7,感谢大家观看本期视频！\n如今的13寸笔记本电脑普遍越做越薄。\n好看是更好看了，但接口和扩展性的问题也都接踵而至。\n那么目前坚持传统和安全的商务本表现究竟如何？\n看完全部视频，相信你能找到答案,565,{0: '上传用'},http://i0.hdslb.com/bfs/archive/260de63bdd9fda4fbc4aeb48303c84dddbf03f5b.jpg,1545386424,"['【熊猫评测】全能本真的无所不能？灵越7590详细评测！', '【SPlusTech】戴尔G3测评：一白遮百丑，一键毁所有~', '【SPlusTech】微软Surface Laptop 3测评：并不是所有苏菲都这么贵', '中正评测：戴尔G7-7590新RTX2060显卡版开箱', '中正评测：西装、领带、皮包，加上X395，就是成功商务人士了吧。ThinkPad X395 R7-3700U版开箱', '中正评测：神舟台式机CPU游戏本，平民法拉利？超级战神TX7-CT5A1，i5-9400，GTX1660Ti', '【笔吧评测室】颜值巅峰，戴尔Alienware17R4评测', '中正评测：超级性价比游戏本？戴尔G3开箱，对比联想y7000', '【笔吧简评】性价比又被打了？红米RedmiBook 14增强版评测', '中正评测：戴尔Ins 15-7591轻薄设计师游戏本开箱，i5-9300h\\u002FGTX1050-3G', '【笔吧简评】全面屏全能本  华为Matebook14简评', '【SPlusTech】玩家国度幻15测评：嘴上说不要，配置还是挺诚实的', '【SPlusTech】玩家国度冰刃3s新锐测评：可能是今年最好的轻薄游戏本', '【SPlusTech】联想拯救者Y9000X测评：买前生产力，买后戒网瘾~', '【笔吧评测室】全新模具，戴尔G7评测', '【SPlusTech】外星人Area51m测评：我要卖掉我的台式，买台51M', '【官方双语】最好的轻薄本？ThinkPad X390评测#linus谈科技', '【SPlusTech】惠普暗影精灵5测评：一顿操作猛如虎，测完还是95℃', 'ThinkPad  X390 简评与使用感受分享', '【笔吧简评】散热较好的电竞游戏本，联想拯救者Y7000P评测', '【笔吧简评】微软SurfaceLaptop2评测', '【笔吧评测室】习武之人的终极神器，戴尔 Latitude 7424 Rugged Extreme评测', '【SPlusTech】联想拯救者Y7000P 2019款测评：平衡，稳健，杀戮', '戴尔xps12 Latitude 12 7275 9250 短评，考研必备平板电脑，win10平板电脑轻度上手体验', '【熊猫评测】最商务风的游戏本？小米游戏本2019详细评测！', '【SPlusTech】联想小新Pro13评测：诚意拉满', '【FYI & 双语字幕】戴尔灵越7000（7590）全面评测', '【笔吧科普】猪王教你买电脑！']",【笔吧评测室】Latitude7390评测,142945
47647674,BV1db411x7fo,谢谢大家观看本期视频！\n联想潮7000-13是一款2017年9月发布的机器，实话说已经不算是最新款了。\n但是他的定价和配置，可以说是5000价位最具标志性的，是一台笔记本玩家们必须要了解的产品。\n这台电脑究竟如何，看完全部视频就能找到答案！,763,{0: '出片（带字幕）'},http://i1.hdslb.com/bfs/archive/fc396a882167addb512512c68c256ed110a1d6eb.jpg,1553840753,"['【熊猫评测】天神下凡！联想小新pro13使用体验，原来轻薄本性能也可以这么强！', '【SPlusTech】小新Air14 2020评测：真香~', '【笔吧评测室】联想小新Pro13评测：屏幕给力，散热很猛', '【爱搞机】体验了 2020 款联想小新 Pro 13 笔记本后，出乎了我们的意料', '「科技美学直播」开学季迎来人生的第一台电脑 大学生该如何选电脑', '【SPlusTech】联想小新Pro13评测：诚意拉满', '【SPlusTech】Y7000P VS 暗影精灵5：只有更香，没有最香~', '3000-5000元笔记本选购推荐，听我的，真的很香', '最强轻薄本处理器6核12线程i7-10710U加持 联想小新Pro13笔记本测评', '【SPlusTech】联想拯救者Y7000 2019测评：香归香，稳归稳，就是有点小贵~', '【SPlusTech】Q&A：华硕天选，拯救者竞技版，小新Pro13 2020', '【SPlusTech】外星人Area51m测评：我要卖掉我的台式，买台51M', '【SPlusTech】MECHREVO机械革命 Z2 Air评测:目前国产轻薄游戏本里面三围最好的', '【笔吧评测室】荣耀MagicBook 14评测：为啥这俩这么像？', '【笔吧简评】散热较好的电竞游戏本，联想拯救者Y7000P评测', '中正评测：荣耀magicbook2019锐龙5-3500U开箱，对比联想小新14-锐龙5-3500U轻薄本', '「科技美学直播」首款MX350独显 联想小新Air 14 2020笔记本开箱体验', '【微软历险记】Windows 未知错误、停止工作、没有权限、内存不足，找不到对象！', '【笔吧评测室】轻薄旗舰再升级，ROG 冰刃3s Plus评测', '【熊猫开箱】新款华为matebook14 2020快速开箱上手！对比pro13孰强孰弱？', '【熊猫评测】全能本真的无所不能？灵越7590详细评测！', '【测评】小新Air14 MX350版——7nm锐龙到来前5000元价位性价比最高的全能轻薄本', '【SPlusTech】宏碁蜂鸟5测评：世界上最轻的笔记本', '3000多元的Ryzen笔记本可以做些什么？联想小新14 锐龙版性能分析', '【MDT】更成熟的全能本 — MateBook 14 2020 测评', '【SPlusTech】联想拯救者Y9000X测评：买前生产力，买后戒网瘾~', '【笔吧科普】笔记本屏幕太差？猪王教你换屏幕！', '【小新pro13】开箱及验机过程分享', '【SPlusTech】机械革命X3评测：7K档的黄金圣斗士', '【笔吧科普】轻薄本、全能本、游戏本都有什么区别？', '3000元最强性价比电脑！荣耀magicbook2019新款详细评测！超高性价比轻薄本，今年华为真的碾压小米了吗？', '【开学季】学生党怎样选择电脑能战三年？', '【B站最良心】19年大学生笔记本选购全攻略！15分钟从小白到大神，高考生福利！', '【笔吧简评】全面屏全能本  华为Matebook14简评', '中正评测：三千元档游戏本可以吃鸡？荣耀锐龙版、小新Air锐龙版、小新Airi5版，三款全能本全比拼', '中正评测：荣耀magicbook Pro 16.1、小新Air15正面刚，5000价位大屏轻薄本哪家好？']",【笔吧简评】经典的全能轻薄本，联想潮7000-13评测,104638
60827554,BV1kt411A7By,感谢大家观看本期视频！\n在轻薄高性能游戏本这个ROG的主场，目前它最牛逼的机器，是哪一款呢？\n没错，就是这台在今年初发布的，17.3英寸轻薄旗舰游戏本冰刃3s Plus。\n那么，它的实际表现究竟如何，对得起“最强轻薄旗舰”的美誉吗？\n看完本期视频，相信你能找到答案！,758,{0: 'ROG GX701'},http://i1.hdslb.com/bfs/archive/4241a9e4d6d34dc4f9e06528bf0720f488b554ad.jpg,1564133416,"['【SPlusTech】玩家国度冰刃3s新锐测评：可能是今年最好的轻薄游戏本', '【装机猿】我打飞了ROG的医保卡！3万元顶级游戏显卡玩家国度2080Ti骇客开箱', '【笔吧简评】轻薄与性能的完美结合？ROG 冰刃3简评', '【SPlusTech】华硕玩家国度枪神3测评：一言难尽~', '【大家测】玩家国度ROG笔记本电脑开箱体验 | 又是那只眼睛惹的祸   |  科技美学', '【皮皮眼评测】ROG在售最美笔记本：幻15冰川蓝', '进击的AMD！推出R9 4900H ROG幻14首发', '【皮皮眼评测】2020年ROG还会有什么惊喜？听我来说说', '【SPlusTech】华硕玩家国度枪神2Plus测评，还有更多关于ROG全系体验和建议都在这里。', 'AMD 4800HS数据曝光  ROG 幻14率先独占', '华硕ROG枪神3使用半年的感想（简介）', 'Alienware Area-51m 使用体验', '【SPlusTech】玩家国度幻15测评：嘴上说不要，配置还是挺诚实的', '【使 用 体 验】ROG冰刃3S PLUS 最强黑科技 使用体验！ 满血RTX2070翻车了？就这？耗时三天心血巨制！！', '【笔吧评测室】最强3A游戏本，玩家国度S7ZC评测', '【官方双语】300Hz高刷屏！ 参见冰刃游戏笔记本 - 华硕赞助#linus谈科技', '「科技美学直播」全球首款2080显卡游戏本 售价四万 玩家国度ROG超神2s开箱体验', 'ROG冰刃3sPlus评测：18.7mm配2080 三万块的终极信仰？-3DM硬件评测室', '「科技美学直播」开学季迎来人生的第一台电脑 大学生该如何选电脑', '7万块笔电真能脚踩台式机？ROG超神X评测-3DM硬件评测室', '「科技美学直播」玩家国度 ROG游戏手机开箱上手体验 |地表最强·游戏性能 一款让男主播都觉得有意思的手机', '【大家测】ROG 幻15开箱上手体验', 'ROG超神X测评，七万元的土豪笔记本，真能吊打台式机吗？玩家国度，你从未见过的船新版本', '为何华硕高端价格居高不下，ROG真的很败家么？堆料？卖包装？性能强？那么贵真的值得买买买么？', 'ROG最美笔记本之一，土豪看完表示买买买！', 'ROG 幻15 中文版CG视频', 'ROG 冰刃3s 新锐 精英游戏利刃，尽享电竞盛宴！你想要的全都有！', '【SPlusTech】数码雷蛇灵刃15评测:大概是今年到现在为止最完美的打游戏的笔记本电脑，好歹给未来笔记本的发展试了下', '世界上最快的CPU有多快？64核能做些什么？']",【笔吧评测室】轻薄旗舰再升级，ROG 冰刃3s Plus评测,252869
